"subj","current_staircase","duration_test","duration_ref","contrast_test","contrast_ref","stimulus_type","reference_type","stimulus_filename","reference_filename","ref_test_order","RT","resp","updated_threshold","updated_slope","updated_lapse","updated_guess","task","trials","group_id","energy","E","T","D","Ldu","Len"
"02",8,30808,5000,12,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_21_Caucasian_male_neutral_frontal_012.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_05_Caucasian_male_neutral_frontal_050.tiff",1,0.3010818,0,11.1599017318325,0.0247336490098352,0.0706141405277589,0.0514614228633322,"faces",50,"F_02_split_by_duration_test.30808",369696,0.0367909684435362,-0.733404688416857,0.0819467172595741,10.3355296754947,12.8204363252827
"02",9,55505,5000,7,"050",1,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_10_Caucasian_male_angry_frontal_007.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_15_Caucasian_male_neutral_frontal_050.tiff",1,0.6910699,1,7.97595553389004,0.0277846862987376,0.0452121496850421,0.0748926816902035,"faces",50,"F_02_split_by_duration_test.55505",388535,0.0874045992772936,-0.843568687624932,0.856520952803516,10.9242283857667,12.8701385348221
"02",10,100000,5000,9,"050",1,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_07_Caucasian_male_angry_frontal_009.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_16_Caucasian_female_neutral_frontal_050.tiff",1,0.6260716,0,8.52211436541805,0.0382530961838381,0.0564041716897466,0.0907342876811355,"faces",50,"F_02_split_by_duration_test.100000",900000,1.4615274664352,-0.824671684552827,2.25202164562158,11.5129254649702,13.7101500423064
"03",4,2924,5000,81,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_03_Caucasian_male_neutral_frontal_081.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_16_Caucasian_female_neutral_frontal_050.tiff",0,0.2721302,0,80.9758324135973,0.0264472944312577,0.07564957575293,0.0688190956125304,"faces",50,"F_03_split_by_duration_test.2924",236844,-0.320134668985539,1.68221468897939,-0.792581686348446,7.98070782086967,12.3751569755421
"03",5,5268,5000,48,"050",0,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_18_Caucasian_female_neutral_frontal_048.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_18_Caucasian_female_angry_frontal_050.tiff",0,0.2350521,0,48.4040265406547,0.0249100512705101,0.0622324822841938,0.0705632472880312,"faces",50,"F_03_split_by_duration_test.5268",252864,-0.277094679285619,0.555235722214437,-0.719066603216284,8.56940606286317,12.4406070737711
"03",6,9491,5000,29,"050",0,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_02_Caucasian_female_neutral_frontal_029.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_09_Caucasian_male_angry_frontal_050.tiff",1,0.3410985,1,29.7825581794407,0.0315486718871683,0.051386000365247,0.0849887214348861,"faces",50,"F_03_split_by_duration_test.9491",275239,-0.216981085681642,-0.0890639293071992,-0.586620273836114,9.15809926013049,12.525395090117
"03",7,17100,5000,15,"050",0,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_08_Caucasian_female_neutral_frontal_015.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_31_Caucasian_female_angry_frontal_050.tiff",0,0.3360489,1,15.9386069999884,0.0287117927445038,0.0451387947899633,0.0647499543630568,"faces",50,"F_03_split_by_duration_test.17100",256500,-0.267326052409906,-0.568062295471604,-0.347978521467249,9.74683374249075,12.454883943593
"03",8,30808,5000,10,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_14_Caucasian_female_neutral_frontal_010.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_15_Caucasian_male_neutral_frontal_050.tiff",1,0.1770689,1,10.9984821285724,0.0514435563669451,0.0401329898911078,0.0551738878460518,"faces",50,"F_03_split_by_duration_test.30808",308080,-0.128749106796806,-0.738989779351247,0.0819467172595741,10.3355296754947,12.6381147684888
"03",9,55505,5000,8,"050",1,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_20_Caucasian_male_angry_frontal_008.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_21_Caucasian_male_neutral_frontal_050.tiff",1,0.3131093,1,8.9896856982715,0.0328625841918068,0.0431890026952373,0.0638538767106989,"faces",50,"F_03_split_by_duration_test.55505",444040,0.23652661103098,-0.808493795625096,0.856520952803516,10.9242283857667,13.0036699274466
"03",10,100000,5000,9,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_16_Caucasian_female_neutral_frontal_009.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_27_Caucasian_female_neutral_frontal_050.tiff",1,0.3231237,0,8.00045751882602,0.0554218313028405,0.0454781715873413,0.0474883825508731,"faces",50,"F_03_split_by_duration_test.100000",900000,1.4615274664352,-0.842720923095862,2.25202164562158,11.5129254649702,13.7101500423064
