"subj","current_staircase","duration","contrast","stimulus_type","stimulus_filename","RT","resp","correct","updated_threshold","updated_slope","updated_lapse","updated_guess","task","trials","group_id","energy"
"03",9,55505,34,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_01_Caucasian_female_angry_frontal_034.tiff",0.4520343,0,0,34.359870657697,0.0518685704849749,0.0765822942415892,0.5,"faces",50,"F_03_split_by_duration.55505",1887170
"03",10,1e+05,28,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_07_Caucasian_male_neutral_frontal_028.tiff",0.7200687,0,1,27.2310725992994,0.0501991400621068,0.0439653206121536,0.5,"faces",50,"F_03_split_by_duration.1e+05",2800000
"04",3,1623,93,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_02_Caucasian_female_neutral_frontal_093.tiff",0.001084,0,1,92.0995091489994,0.0513220316310575,0.0552335190286904,0.5,"faces",50,"F_04_split_by_duration.1623",150939
"04",4,2924,83,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_15_Caucasian_male_angry_frontal_083.tiff",0.3751912,1,1,82.3850502612822,0.0550482965827302,0.0614399691939784,0.5,"faces",50,"F_04_split_by_duration.2924",242692
"04",5,5268,84,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_28_Caucasian_male_neutral_frontal_084.tiff",0.7140555,0,1,82.018545855073,0.0544809554730476,0.056001044315965,0.5,"faces",50,"F_04_split_by_duration.5268",442512
"04",6,9491,95,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_16_Caucasian_female_angry_frontal_095.tiff",0.3910796,1,1,94.9609485352213,0.0544009876356883,0.0496670926225718,0.5,"faces",50,"F_04_split_by_duration.9491",901645
"04",7,17100,63,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_09_Caucasian_male_angry_frontal_063.tiff",1.0570511,1,1,62.3466305104029,0.0483156163917669,0.0613792420174877,0.5,"faces",50,"F_04_split_by_duration.17100",1077300
"04",8,30808,82,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_12_Caucasian_female_angry_frontal_082.tiff",0.0010866,0,0,81.4263998229687,0.0470252700971053,0.0543255401198557,0.5,"faces",50,"F_04_split_by_duration.30808",2526256
"04",9,55505,83,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_01_Caucasian_female_angry_frontal_083.tiff",0.398081,1,1,82.4624592280715,0.0581496730369653,0.0454579139676533,0.5,"faces",50,"F_04_split_by_duration.55505",4606915
"04",10,1e+05,99,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_19_Caucasian_female_neutral_frontal_099.tiff",0.3720581,0,1,98.7383107471879,0.0510042446221229,0.0527843536684621,0.5,"faces",50,"F_04_split_by_duration.1e+05",9900000
"05",5,5268,78,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_12_Caucasian_female_angry_frontal_078.tiff",0.4881745,1,1,76.2246985993609,0.0546298730074286,0.0486700156154373,0.5,"faces",50,"F_05_split_by_duration.5268",410904
"05",6,9491,53,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_18_Caucasian_female_angry_frontal_053.tiff",0.4940519,1,1,43.6398448357146,0.0529871245752932,0.0814496092763587,0.5,"faces",50,"F_05_split_by_duration.9491",503023
"05",7,17100,29,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_25_Caucasian_male_neutral_frontal_029.tiff",0.4760374,0,1,28.4646228049461,0.0494956685610253,0.0623238603173348,0.5,"faces",50,"F_05_split_by_duration.17100",495900
